@relation german_credit-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute employment {unemployed,<1,1<=X<4,4<=X<7,>=7}
@attribute installment_commitment numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute residence_since numeric
@attribute property_magnitude {'real estate','life insurance',car,'no known property'}
@attribute age numeric
@attribute other_payment_plans {bank,stores,none}
@attribute housing {rent,own,'for free'}
@attribute existing_credits numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute num_dependents numeric
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute class {good,bad}

@data
'no checking',0.029412,'existing paid',radio/tv,0.060306,100<=X<500,>=7,0.333333,'male single',none,1,'no known property',0.410714,bank,'for free',0,skilled,1,yes,yes,good
'no checking',0.088235,'existing paid',radio/tv,0.09211,<100,1<=X<4,0,'male single',none,1,'life insurance',0.339286,none,own,0,skilled,0,yes,no,good
>=200,0.470588,'existing paid',radio/tv,0.308022,<100,1<=X<4,1,'male single',none,0,car,0.089286,none,own,0,skilled,0,none,yes,good
0<=X<200,0.294118,'critical/other existing credit','used car',0.413118,>=1000,>=7,0.333333,'female div/dep/mar',none,1,'no known property',0.178571,none,rent,0,skilled,0,none,yes,good
0<=X<200,0.294118,'delayed previously',business,0.369594,100<=X<500,4<=X<7,1,'male single',none,1,car,0.303571,none,rent,0,'high qualif/self emp/mgmt',0,yes,yes,good
<0,0.117647,'existing paid',furniture/equipment,0.056784,<100,1<=X<4,0.333333,'female div/dep/mar',none,1,car,0.017857,none,rent,0,skilled,0,none,yes,bad
<0,0.073529,'critical/other existing credit',repairs,0.057115,100<=X<500,>=7,0.666667,'male single',guarantor,1,'real estate',0.517857,none,own,0.333333,skilled,1,none,no,good
<0,0.117647,'all paid',retraining,0.004897,<100,>=7,1,'male mar/wid',none,0,car,0.464286,bank,own,0,'unskilled resident',0,none,yes,good
0<=X<200,0.294118,'existing paid','new car',0.179487,100<=X<500,4<=X<7,0.333333,'male single',none,0.666667,car,0.339286,bank,own,0.333333,skilled,0,yes,yes,good
'no checking',0.029412,'critical/other existing credit',radio/tv,0.090679,'no known savings',1<=X<4,0,'male single',none,0.333333,'real estate',0.267857,none,own,0.333333,'unskilled resident',1,none,yes,good
'no checking',0.294118,'critical/other existing credit',radio/tv,0.144272,100<=X<500,>=7,0.666667,'male single',none,1,'real estate',0.303571,none,own,0,skilled,1,yes,yes,good
'no checking',0.205882,'critical/other existing credit','new car',0.044294,<100,<1,1,'female div/dep/mar',none,0,'life insurance',0.196429,none,own,0.333333,skilled,0,none,yes,good
'no checking',0.161765,'existing paid','domestic appliance',0.055684,500<=X<1000,4<=X<7,1,'male single',none,0.666667,'life insurance',0.303571,none,own,0.333333,skilled,0,yes,yes,good
0<=X<200,0.088235,'existing paid','new car',0.388357,<100,unemployed,0.333333,'male single',none,1,'no known property',0.910714,bank,'for free',0,'high qualif/self emp/mgmt',0,yes,yes,good
'no checking',0.470588,'existing paid','new car',0.036261,500<=X<1000,>=7,1,'male single',none,1,'life insurance',0.303571,none,own,0,skilled,0,none,yes,good
'no checking',0.029412,'existing paid',furniture/equipment,0.150105,500<=X<1000,1<=X<4,0,'male single',none,0.333333,car,0.232143,none,own,0,skilled,0,yes,yes,good
<0,0.205882,'existing paid',furniture/equipment,0.048476,<100,unemployed,1,'female div/dep/mar',none,0.333333,car,0.25,none,own,0,skilled,0,none,yes,bad
0<=X<200,0.102941,'existing paid',furniture/equipment,0.073016,>=1000,<1,1,'female div/dep/mar',none,0,'real estate',0.017857,none,own,0,skilled,0,none,yes,good
'no checking',0.294118,'existing paid',furniture/equipment,0.204798,<100,4<=X<7,0.333333,'female div/dep/mar',none,1,'life insurance',0.107143,none,rent,0,skilled,0,yes,yes,good
0<=X<200,0.294118,'critical/other existing credit',business,0.092715,<100,>=7,1,'male div/sep',none,1,'real estate',0.214286,none,own,0.333333,skilled,0,yes,yes,bad
<0,0.161765,'no credits/all paid','new car',0.038517,<100,>=7,1,'male single',none,0.666667,car,0.25,none,rent,0.333333,skilled,1,none,yes,bad
'no checking',0.117647,'existing paid',furniture/equipment,0.028227,<100,1<=X<4,1,'female div/dep/mar',none,0,'real estate',0.125,none,own,0,skilled,0,yes,yes,good
0<=X<200,0.294118,'delayed previously',furniture/equipment,0.099813,<100,unemployed,0.666667,'female div/dep/mar',none,0.333333,'life insurance',0.267857,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,bad
0<=X<200,0.058824,'existing paid',radio/tv,0.064048,<100,1<=X<4,1,'male single',guarantor,0.333333,'real estate',0.25,none,own,0,skilled,0,none,no,good
<0,0.25,'delayed previously',education,0.174095,<100,<1,0.333333,'male single',none,0,'life insurance',0.125,none,own,0.333333,skilled,0,none,yes,bad
'no checking',0.382353,'all paid','used car',0.398096,'no known savings',unemployed,1,'female div/dep/mar',none,0,'real estate',0.607143,bank,own,0,'high qualif/self emp/mgmt',0,yes,yes,bad
<0,0.117647,'existing paid',furniture/equipment,0.12804,<100,1<=X<4,0.333333,'male div/sep',none,0,car,0.410714,none,own,0,skilled,0,none,yes,good
<0,0.029412,'critical/other existing credit',radio/tv,0.004842,500<=X<1000,>=7,1,'male single',none,1,car,0.589286,none,own,0.333333,skilled,0,none,yes,good
'no checking',0.117647,'existing paid',radio/tv,0.094256,<100,4<=X<7,1,'male single',none,0.333333,car,0.214286,none,rent,0.333333,'high qualif/self emp/mgmt',1,yes,yes,good
<0,0.25,'critical/other existing credit','new car',0.017663,<100,>=7,1,'male single',none,1,'real estate',0.821429,none,own,0.333333,skilled,0,none,yes,good
'no checking',0.470588,'delayed previously',business,0.512931,<100,<1,0,'male div/sep',none,0,car,0.160714,none,own,0.333333,skilled,0,none,yes,bad
0<=X<200,0.470588,'delayed previously',business,0.231374,<100,1<=X<4,0.333333,'male div/sep',none,0.333333,'real estate',0.196429,stores,own,0.333333,'high qualif/self emp/mgmt',0,yes,yes,bad
<0,0.25,'all paid','new car',0.076868,'no known savings',1<=X<4,1,'male single',none,0.333333,'life insurance',0.375,none,own,0.333333,'unskilled resident',1,none,yes,bad
'no checking',0.294118,'critical/other existing credit',furniture/equipment,0.194068,>=1000,1<=X<4,1,'male single',none,1,'real estate',0.553571,none,own,0,skilled,0,yes,yes,good
0<=X<200,0.205882,'critical/other existing credit','new car',0.034885,<100,>=7,1,'male single',none,1,car,0.303571,bank,own,0,skilled,1,yes,yes,bad
'no checking',0.161765,'critical/other existing credit',radio/tv,0.061076,<100,1<=X<4,1,'male single',none,0.333333,'life insurance',0.214286,none,own,0.333333,skilled,0,none,yes,good
0<=X<200,0.073529,'all paid','used car',0.26846,<100,>=7,0.333333,'female div/dep/mar',none,1,'no known property',0.982143,bank,'for free',0,'high qualif/self emp/mgmt',1,yes,yes,bad
0<=X<200,0.176471,'critical/other existing credit','new car',0.050897,<100,unemployed,0.333333,'male single',none,0.666667,car,0.875,none,'for free',0.666667,'unemp/unskilled non res',0,yes,yes,good
<0,0.117647,'existing paid',radio/tv,0.02333,100<=X<500,4<=X<7,1,'male mar/wid',none,0,'life insurance',0.017857,none,own,0,skilled,0,none,yes,bad
0<=X<200,0.205882,'no credits/all paid',furniture/equipment,0.164741,<100,1<=X<4,0,'female div/dep/mar',none,1,car,0.25,bank,own,0.333333,skilled,0,yes,yes,good
'no checking',0.294118,'existing paid',business,0.238858,>=1000,1<=X<4,0.333333,'male single',none,0.666667,'life insurance',0.625,none,own,0.666667,'high qualif/self emp/mgmt',0,yes,yes,bad
0<=X<200,0.647059,'no credits/all paid',business,0.197755,100<=X<500,4<=X<7,1,'male single',none,1,'no known property',0.267857,none,'for free',0,'unskilled resident',1,none,yes,bad
0<=X<200,0.338235,'existing paid',business,0.201662,<100,1<=X<4,1,'male single',none,0.333333,car,0.303571,none,own,0,skilled,1,yes,yes,bad
'no checking',0.029412,'existing paid',radio/tv,0.102234,<100,4<=X<7,0.333333,'male mar/wid',none,0.333333,'real estate',0.178571,none,rent,0,skilled,0,none,yes,good
0<=X<200,0.602941,'existing paid',radio/tv,0.153021,100<=X<500,1<=X<4,1,'male single',guarantor,1,'life insurance',0.035714,none,rent,0,skilled,0,none,yes,bad
0<=X<200,0.073529,'critical/other existing credit',education,0.068835,<100,>=7,0.333333,'female div/dep/mar',none,0.666667,car,0.267857,none,own,0.333333,'high qualif/self emp/mgmt',0,yes,yes,bad
'no checking',0.029412,'critical/other existing credit',radio/tv,0.062287,<100,1<=X<4,0,'female div/dep/mar',none,0,car,0.160714,none,own,0.333333,skilled,0,yes,yes,good
0<=X<200,0.117647,'existing paid',furniture/equipment,0.038572,100<=X<500,<1,1,'female div/dep/mar',none,1,car,0.142857,bank,rent,1,skilled,0,none,yes,bad
0<=X<200,0.294118,'existing paid','used car',0.138109,'no known savings',>=7,1,'male single',none,1,'no known property',0.303571,bank,'for free',0,skilled,0,yes,yes,good
0<=X<200,0.205882,'delayed previously',furniture/equipment,0.222681,<100,>=7,1,'male div/sep',none,0.666667,'no known property',0.375,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,bad
'no checking',0.073529,'critical/other existing credit',education,0.037746,500<=X<1000,>=7,1,'male single',none,0.333333,car,0.589286,none,own,0.333333,skilled,0,yes,yes,good
<0,0.117647,'existing paid','new car',0.050512,<100,1<=X<4,1,'male mar/wid',none,0.666667,'real estate',0.142857,none,own,0,'unskilled resident',0,none,yes,good
'no checking',0.338235,'delayed previously',business,0.2678,<100,4<=X<7,0.666667,'male single',none,1,car,0.125,none,own,0.333333,skilled,0,none,yes,good
<0,0.117647,'existing paid',retraining,0.035875,<100,4<=X<7,1,'male mar/wid',none,1,'life insurance',0.035714,none,rent,0,skilled,0,none,yes,bad
'no checking',0.117647,'critical/other existing credit','new car',0.068504,<100,>=7,1,'male single',none,0,'real estate',0.339286,none,own,0.333333,'unskilled resident',1,none,yes,good
<0,0.382353,'critical/other existing credit','used car',0.57076,<100,>=7,0.666667,'male single',none,1,'no known property',0.339286,none,'for free',0.666667,'high qualif/self emp/mgmt',1,yes,yes,good
'no checking',0.117647,'critical/other existing credit',furniture/equipment,0.092715,<100,>=7,1,'male single',none,1,'real estate',0.428571,none,own,0.666667,skilled,0,yes,yes,good
0<=X<200,0.117647,'critical/other existing credit','domestic appliance',0.064598,<100,4<=X<7,1,'male single',none,0.666667,'life insurance',0.125,none,own,0,skilled,0,none,yes,good
<0,0.294118,'existing paid',business,0.347639,<100,1<=X<4,0.333333,'male mar/wid',none,0.333333,car,0.035714,stores,own,0,'unskilled resident',0,none,yes,good
'no checking',0.117647,'existing paid','used car',0.063993,>=1000,4<=X<7,0.666667,'male single',none,0.333333,'life insurance',0.642857,none,own,0,skilled,0,none,no,good
'no checking',0.073529,'critical/other existing credit',radio/tv,0.155387,'no known savings',1<=X<4,0,'male single',none,0.333333,'real estate',0.25,none,own,0.333333,skilled,1,none,yes,good
'no checking',0.470588,'existing paid',radio/tv,0.19726,'no known savings',>=7,0.333333,'female div/dep/mar',none,1,'real estate',0.464286,none,own,0,'unskilled resident',0,yes,yes,good
<0,0.338235,'no credits/all paid',business,0.277484,<100,unemployed,0.333333,'male single',none,1,'life insurance',0.553571,stores,own,0.333333,skilled,0,yes,yes,bad
>=200,0.382353,'delayed previously',business,0.091229,<100,>=7,1,'male single',none,1,'real estate',0.839286,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,bad
'no checking',0.470588,'critical/other existing credit',radio/tv,0.170133,'no known savings',>=7,1,'male single',none,0.333333,car,0.571429,none,own,0,skilled,0,yes,yes,good
0<=X<200,0.029412,'critical/other existing credit',retraining,0.037526,'no known savings',4<=X<7,0,'female div/dep/mar',none,0.666667,'life insurance',0.357143,none,own,0.333333,'unskilled resident',0,none,yes,good
<0,0.205882,'no credits/all paid',business,0.157038,<100,4<=X<7,0.666667,'male single',none,0,'life insurance',0.214286,bank,own,0,skilled,0,yes,yes,good
>=200,0.470588,'existing paid',radio/tv,0.201552,<100,1<=X<4,0.333333,'male single',none,0.333333,'real estate',0.071429,none,own,0,skilled,0,yes,yes,good
<0,0.294118,'existing paid',furniture/equipment,0.152471,<100,1<=X<4,0.333333,'male div/sep',none,0.333333,'real estate',0.089286,none,rent,0,'unskilled resident',0,none,yes,good
'no checking',0.088235,'existing paid','new car',0.061296,<100,1<=X<4,0.333333,'female div/dep/mar',none,1,car,0.803571,none,own,0,skilled,0,yes,yes,good
0<=X<200,0.117647,'existing paid',radio/tv,0.020634,<100,<1,1,'male mar/wid',guarantor,0,'real estate',0.125,bank,own,0,'unskilled resident',0,none,yes,good
<0,0.117647,'existing paid',education,0.052272,'no known savings',1<=X<4,1,'female div/dep/mar',none,1,'life insurance',0.071429,bank,rent,0,skilled,0,yes,yes,good
'no checking',0.117647,'existing paid',radio/tv,0.025146,<100,1<=X<4,1,'male single',none,0.333333,'real estate',0.196429,bank,own,0.333333,skilled,0,none,yes,good
'no checking',0.294118,'delayed previously',business,0.150105,'no known savings',1<=X<4,1,'male single',none,1,'real estate',0.232143,none,own,0.333333,skilled,1,yes,yes,good
'no checking',0.161765,'existing paid','used car',0.242489,<100,1<=X<4,0.666667,'male single',none,0.333333,car,0.196429,none,own,0,skilled,0,yes,yes,good
'no checking',0.470588,'no credits/all paid',repairs,0.130021,<100,1<=X<4,1,'male single',none,0.333333,car,0.142857,none,own,0.333333,skilled,0,none,yes,good
0<=X<200,0.647059,'existing paid',radio/tv,0.589358,>=1000,4<=X<7,0,'male single','co applicant',0.333333,'no known property',0.142857,bank,own,0.333333,skilled,0,yes,yes,bad
<0,0.117647,'existing paid',furniture/equipment,0.419005,<100,>=7,1,'male single',none,1,'no known property',0.607143,none,'for free',0,'high qualif/self emp/mgmt',0,yes,yes,bad
'no checking',0.073529,'existing paid',radio/tv,0.067569,<100,4<=X<7,1,'male single',none,0.333333,car,0.053571,none,own,0,skilled,0,none,yes,bad
<0,0.294118,'existing paid',furniture/equipment,0.159514,<100,<1,1,'male single',none,0,'no known property',0.053571,bank,'for free',0,skilled,0,none,yes,good
>=200,0.470588,'existing paid',radio/tv,0.217894,<100,1<=X<4,1,'male single',none,0.333333,car,0.125,none,own,0,skilled,0,none,yes,bad
'no checking',0.073529,'existing paid','new car',0.124188,500<=X<1000,>=7,0.333333,'male single',none,1,'no known property',0.571429,none,'for free',0,'unskilled resident',0,none,yes,good
'no checking',0.117647,'existing paid',radio/tv,0.10405,100<=X<500,4<=X<7,0.666667,'male single',none,0,'no known property',0.285714,none,own,0,skilled,0,none,yes,good
0<=X<200,0.205882,'existing paid',radio/tv,0.033895,<100,1<=X<4,1,'male mar/wid',guarantor,0.333333,'real estate',0.107143,none,own,0,'unskilled resident',0,none,yes,good
'no checking',0,'critical/other existing credit',radio/tv,0.071201,<100,4<=X<7,0.333333,'male single',none,0,'real estate',0.410714,none,own,0.666667,'unskilled resident',1,none,yes,good
<0,0.294118,'existing paid',radio/tv,0.086552,<100,unemployed,1,'male single',none,0.333333,car,0.196429,stores,own,0,'high qualif/self emp/mgmt',1,none,yes,bad
0<=X<200,0.029412,'existing paid','new car',0.787113,'no known savings',unemployed,0,'male single',none,0.333333,'life insurance',0.071429,none,own,0,'unemp/unskilled non res',0,yes,yes,bad
0<=X<200,0.25,'existing paid',business,0.138495,100<=X<500,>=7,1,'male div/sep',none,0.333333,car,0.75,bank,rent,0.333333,'unskilled resident',0,none,yes,bad
'no checking',0.117647,'critical/other existing credit',radio/tv,0.05728,<100,1<=X<4,1,'female div/dep/mar',none,0.333333,'life insurance',0.285714,none,own,0.333333,skilled,0,none,yes,good
<0,0.382353,'existing paid',radio/tv,0.125014,<100,>=7,0,'male single',guarantor,0.666667,'life insurance',0.357143,none,own,0,skilled,1,none,yes,good
<0,0.294118,'existing paid','new car',0.036591,'no known savings',>=7,1,'female div/dep/mar',none,0.333333,car,0.178571,bank,own,0,skilled,0,none,yes,bad
'no checking',0.029412,'existing paid',radio/tv,0.074007,<100,4<=X<7,0.666667,'male single',none,0.333333,'life insurance',0.571429,none,own,0,skilled,1,none,yes,good
<0,0.647059,'no credits/all paid','used car',0.239628,<100,>=7,0.666667,'male single',none,1,'no known property',0.089286,none,'for free',0.333333,skilled,1,none,yes,bad
'no checking',0.117647,'critical/other existing credit',business,0.051447,<100,1<=X<4,0.666667,'female div/dep/mar',none,0.333333,'real estate',0.142857,none,own,0.333333,skilled,0,none,yes,good
'no checking',0.117647,'all paid',retraining,0.175911,500<=X<1000,1<=X<4,1,'female div/dep/mar',none,0.666667,'real estate',0.285714,none,own,0,'unskilled resident',1,none,yes,good
'no checking',0.294118,'existing paid',business,0.055464,<100,4<=X<7,1,'male single',none,0,'real estate',0.107143,none,own,0,skilled,0,yes,yes,good
'no checking',0.117647,'critical/other existing credit',radio/tv,0.025696,<100,>=7,1,'male single',none,1,'real estate',0.589286,none,own,0.666667,skilled,0,none,yes,good
'no checking',0.029412,'no credits/all paid','new car',0.052493,100<=X<500,1<=X<4,1,'male single',none,0,'no known property',0.285714,bank,rent,0,skilled,0,none,no,good
>=200,0.294118,'existing paid',furniture/equipment,0.092165,<100,1<=X<4,0.333333,'male single',none,0.333333,'real estate',0.125,none,own,0,skilled,0,none,yes,good
'no checking',0.205882,'existing paid',radio/tv,0.010069,<100,unemployed,0.666667,'female div/dep/mar','co applicant',1,'real estate',0.053571,none,rent,0,skilled,0,none,yes,bad
<0,0.029412,'critical/other existing credit','new car',0.02289,>=1000,4<=X<7,0.666667,'female div/dep/mar',none,1,'real estate',0.357143,none,own,0.333333,'unskilled resident',0,yes,yes,good
>=200,0.117647,'existing paid',furniture/equipment,0.110102,<100,1<=X<4,0,'female div/dep/mar',none,0.333333,car,0.482143,none,own,0,'unskilled resident',0,none,yes,good
0<=X<200,0.382353,'existing paid','new car',0.104545,<100,1<=X<4,1,'female div/dep/mar',guarantor,0.333333,'no known property',0.089286,bank,own,0,skilled,0,none,yes,bad
'no checking',0.294118,'delayed previously',furniture/equipment,0.214647,100<=X<500,1<=X<4,0.333333,'male single',none,0.666667,'life insurance',0.285714,none,own,0.333333,skilled,0,none,yes,good
0<=X<200,0.073529,'existing paid',furniture/equipment,0.097942,'no known savings',4<=X<7,0.333333,'male single',none,0,car,0.089286,none,own,0,skilled,0,yes,yes,good
0<=X<200,0.823529,'delayed previously',radio/tv,0.39441,'no known savings',1<=X<4,0,'male single',none,0,'real estate',0.142857,none,own,0,'unskilled resident',0,none,yes,good
'no checking',0.294118,'critical/other existing credit',radio/tv,0.133928,<100,1<=X<4,1,'male single',none,0.333333,'real estate',0.285714,none,own,0.333333,'unskilled resident',0,none,yes,good
<0,0.117647,'all paid',radio/tv,0.10449,<100,1<=X<4,1,'male div/sep',none,0,'no known property',0.178571,none,'for free',0,skilled,0,none,yes,bad
'no checking',0.161765,'existing paid','used car',0.195994,100<=X<500,<1,0,'female div/dep/mar',none,1,car,0.071429,none,own,0,skilled,0,yes,yes,good
'no checking',0.102941,'critical/other existing credit',radio/tv,0.049741,100<=X<500,unemployed,1,'female div/dep/mar',none,1,'real estate',0.678571,none,own,0.666667,'unskilled resident',0,none,yes,good
<0,0.117647,'existing paid',furniture/equipment,0.077418,<100,1<=X<4,0.333333,'male single',none,0.333333,'real estate',0.142857,none,own,0,skilled,0,none,yes,good
<0,0.294118,'existing paid',radio/tv,0.074447,<100,>=7,1,'female div/dep/mar',none,1,car,0.642857,none,own,0,skilled,0,none,yes,good
<0,0.205882,'critical/other existing credit','new car',0.27798,<100,>=7,0.333333,'male single',none,1,'no known property',0.303571,none,'for free',0.666667,'high qualif/self emp/mgmt',0,yes,yes,good
'no checking',0.117647,'critical/other existing credit',education,0.137449,<100,>=7,0.333333,'female div/dep/mar',none,1,'no known property',0.678571,bank,'for free',0.666667,'unskilled resident',0,none,yes,good
'no checking',0.088235,'critical/other existing credit','new car',0.053978,<100,>=7,0.666667,'male single',none,1,'real estate',0.232143,none,own,0.333333,'unskilled resident',1,none,no,good
0<=X<200,0.161765,'existing paid',radio/tv,0.030373,<100,>=7,1,'male single',none,0.666667,car,0.321429,none,own,0,skilled,1,none,yes,bad
'no checking',0.470588,'critical/other existing credit',business,0.333113,'no known savings',>=7,1,'male single',none,1,'real estate',0.303571,none,own,0.333333,skilled,0,none,yes,good
'no checking',0.294118,'existing paid',radio/tv,0.070595,<100,<1,1,'female div/dep/mar',none,0.666667,car,0.339286,stores,own,0,skilled,0,yes,yes,good
<0,0.147059,'existing paid','new car',0.480247,<100,>=7,0,'male div/sep',none,1,'life insurance',0.464286,none,own,0,'high qualif/self emp/mgmt',0,yes,no,bad
'no checking',0.294118,'existing paid',radio/tv,0.041213,'no known savings',>=7,1,'male single',none,0.333333,car,0.107143,none,own,0.333333,skilled,0,none,yes,good
'no checking',0.205882,'existing paid','new car',0.132717,'no known savings',4<=X<7,1,'male single',none,0.666667,'life insurance',0.232143,none,own,0,skilled,0,none,no,good
'no checking',0.117647,'critical/other existing credit',furniture/equipment,0.063387,500<=X<1000,4<=X<7,0.666667,'female div/dep/mar',none,1,car,0.321429,none,rent,0,skilled,0,yes,yes,good
0<=X<200,0.647059,'all paid','new car',0.655827,'no known savings',unemployed,1,'male single','co applicant',1,'no known property',0.303571,none,'for free',0,'high qualif/self emp/mgmt',0,yes,yes,good
0<=X<200,0.647059,'existing paid',radio/tv,0.154616,<100,4<=X<7,1,'male single',none,1,'real estate',0.160714,none,own,0.333333,skilled,0,none,yes,bad
<0,0.382353,'existing paid',repairs,0.646418,<100,<1,0,'male div/sep',none,0,'no known property',0.267857,none,own,0,'unskilled resident',0,yes,yes,bad
'no checking',0.073529,'existing paid',radio/tv,0.134643,<100,1<=X<4,0,'male single',none,0.333333,'real estate',0.232143,none,own,0,skilled,1,none,yes,good
'no checking',0.205882,'critical/other existing credit',radio/tv,0.118521,<100,1<=X<4,0.333333,'female div/dep/mar',none,0.333333,car,0.125,none,own,0.333333,skilled,0,none,yes,good
<0,0.117647,'existing paid',furniture/equipment,0.055684,'no known savings',>=7,0.333333,'male div/sep',none,1,'life insurance',0.535714,none,own,0,'unskilled resident',0,yes,yes,good
'no checking',0.029412,'existing paid',furniture/equipment,0.239958,<100,<1,0,'female div/dep/mar',none,1,'life insurance',0.232143,none,own,0,skilled,0,none,yes,bad
'no checking',0.294118,'existing paid',radio/tv,0.090844,100<=X<500,1<=X<4,1,'male single',none,1,car,0.178571,none,rent,0,'high qualif/self emp/mgmt',0,yes,yes,good
'no checking',0.161765,'critical/other existing credit','used car',0.171564,>=1000,>=7,0.666667,'male single',none,1,'no known property',0.071429,none,rent,0.333333,skilled,0,yes,yes,good
'no checking',0.117647,'existing paid',furniture/equipment,0.072851,<100,1<=X<4,1,'male single',none,0.333333,'real estate',0.553571,none,own,0,skilled,0,none,yes,good
>=200,0.205882,'all paid',radio/tv,0.065753,'no known savings',4<=X<7,1,'male single',none,1,car,0.535714,bank,own,0,'unskilled resident',0,none,yes,good
'no checking',0.161765,'critical/other existing credit',furniture/equipment,0.06988,'no known savings',>=7,1,'male single',none,1,'life insurance',0.785714,none,own,0,skilled,0,none,yes,good
0<=X<200,0.294118,'critical/other existing credit','new car',0.199626,100<=X<500,<1,1,'male div/sep',none,0.333333,car,0.321429,none,own,0,skilled,0,yes,yes,good
<0,0.632353,'existing paid','new car',0.576208,<100,<1,0,'female div/dep/mar',none,0,'real estate',0.285714,none,own,0,'unskilled resident',0,yes,yes,good
<0,0.647059,'existing paid','used car',0.249697,<100,4<=X<7,1,'male single',none,0.666667,'life insurance',0.125,none,own,0,skilled,1,none,yes,good
0<=X<200,0.647059,'delayed previously',other,0.403433,100<=X<500,unemployed,0.333333,'male single',none,1,'no known property',0.214286,none,'for free',0,'high qualif/self emp/mgmt',0,yes,yes,good
0<=X<200,0.117647,'existing paid',radio/tv,0.04633,<100,1<=X<4,1,'female div/dep/mar',guarantor,1,'real estate',0.535714,none,own,0.333333,skilled,0,yes,yes,good
<0,0.294118,'delayed previously',radio/tv,0.042588,<100,<1,1,'male mar/wid',none,1,'real estate',0.517857,stores,own,0,skilled,0,none,yes,bad
'no checking',0.117647,'existing paid',business,0.04545,<100,1<=X<4,0.333333,'male mar/wid',none,0.333333,'real estate',0.125,none,own,0,skilled,0,yes,no,good
0<=X<200,0.470588,'existing paid','used car',0.503356,<100,<1,0,'male mar/wid',none,1,car,0.160714,none,rent,0,'high qualif/self emp/mgmt',0,yes,yes,bad
<0,0.294118,'critical/other existing credit','used car',0.339441,<100,>=7,0.333333,'female div/dep/mar',none,1,'no known property',0.446429,none,'for free',0.333333,'high qualif/self emp/mgmt',1,yes,yes,good
>=200,0.558824,'critical/other existing credit','used car',0.250138,<100,>=7,1,'male single',none,1,'no known property',0.660714,none,'for free',0,skilled,0,none,yes,good
'no checking',0.647059,'critical/other existing credit',business,0.40602,'no known savings',>=7,1,'male div/sep',none,0.333333,car,0.482143,bank,own,0.333333,'high qualif/self emp/mgmt',1,none,yes,good
0<=X<200,0.647059,'existing paid',furniture/equipment,0.53428,<100,<1,0,'female div/dep/mar',none,0.333333,car,0.125,none,own,0,skilled,0,yes,yes,bad
'no checking',0.117647,'existing paid','used car',0.24348,'no known savings',<1,0,'female div/dep/mar',none,1,car,0.017857,none,rent,0,skilled,0,none,yes,good
'no checking',0.088235,'existing paid','new car',0.05706,'no known savings',>=7,1,'male single','co applicant',0.333333,'life insurance',0.464286,none,own,0,'unskilled resident',0,none,no,good
'no checking',0.205882,'existing paid',furniture/equipment,0.124629,<100,1<=X<4,0.666667,'male single',none,1,'real estate',0.428571,none,own,0,skilled,0,yes,yes,good
0<=X<200,0.25,'critical/other existing credit',furniture/equipment,0.137284,>=1000,4<=X<7,0.666667,'male single',none,0.333333,car,0.232143,none,own,0.333333,skilled,0,yes,yes,good
'no checking',0.029412,'existing paid','new car',0.02322,<100,unemployed,0,'female div/dep/mar',none,1,'real estate',0.625,none,own,0,'unemp/unskilled non res',0,yes,yes,good
0<=X<200,0.470588,'no credits/all paid',radio/tv,0.195554,<100,1<=X<4,1,'female div/dep/mar',none,0,car,0.410714,none,own,0,skilled,0,yes,yes,bad
>=200,0.294118,'critical/other existing credit','new car',0.060196,'no known savings',4<=X<7,1,'male single',none,0.333333,'real estate',0.321429,bank,own,0.333333,'unskilled resident',1,none,yes,bad
<0,0.088235,'critical/other existing credit','new car',0.043359,<100,4<=X<7,1,'male single','co applicant',0.666667,'life insurance',0.535714,none,own,0.333333,skilled,0,yes,yes,good
'no checking',0.647059,'critical/other existing credit','new car',0.543469,500<=X<1000,1<=X<4,0.333333,'male single',none,0.333333,'no known property',0.446429,bank,'for free',0,skilled,0,none,yes,bad
'no checking',0.029412,'existing paid',furniture/equipment,0.071146,>=1000,1<=X<4,1,'male div/sep',none,0.333333,'real estate',0.25,none,own,0,skilled,0,none,yes,good
'no checking',0.382353,'existing paid','used car',0.250963,'no known savings',4<=X<7,0.333333,'female div/dep/mar',none,1,'life insurance',0.089286,stores,rent,0,'unskilled resident',0,none,yes,good
<0,0.117647,'existing paid',radio/tv,0.026246,100<=X<500,<1,1,'male mar/wid',none,0.666667,'no known property',0.25,none,own,0,'unskilled resident',0,yes,yes,bad
